,Description,Condition,Price,Location
865,Elantra 2016-2019 Front BRAKE PAD Pair Available,Brand New,250.0,"Greater Accra, Abossey Okai"
866,Car Vacuum Cleaner at 170gh,Brand New,170.0,"Greater Accra, Accra Metropolitan"
867,Elantra 2016 - 2018 Radiator Fan,Brand New,600.0,"Greater Accra, Abossey Okai"
868,Tie Rod End (Ultra-Power) ES800525,Brand New,120.0,"Greater Accra, East Legon"
869,Accord 2019 Headlight Pair,Brand New,,"Greater Accra, Abossey Okai"
870,Nissan Pathfinder/Navara Front SHOCK ABSORBER Pair in Stock,Brand New,800.0,"Greater Accra, Abossey Okai"
871,(Nissan Navara)All Kinds of Driving Shaft Available,Used,300.0,"Greater Accra, Abossey Okai"
872,(Nissan Sentra-04)All Kinds Of Ball Joints Available,Brand New,100.0,"Greater Accra, Abossey Okai"
873,0246/0288. Original Gabriel Shock From USA. 61696/61697,Brand New,,"Greater Accra, Abossey Okai"
874,Mistubishi L200 Front SHOCK ABSORBER Pair in Stock,Used,800.0,"Greater Accra, Abossey Okai"
875,2017 Chevrolet Spark Front Bumper,Used,,"Greater Accra, Spintex"
876,Chevrolet Cruz Back Shock Absorbers,Used,300.0,"Greater Accra, Abossey Okai"
877,Dodge Ram 2008 Front Shock Absorbers,Used,700.0,"Greater Accra, Abossey Okai"
878,Ford F150 Back Shocks,Used,,"Greater Accra, Accra Metropolitan"
879,Honda Crv 2018 Back Bumper Reflector Led,Brand New,800.0,"Greater Accra, Abossey Okai"
880,(Hyundai Elantra 2005)All Kinds of Driving Shaft Available,Used,200.0,"Greater Accra, Abossey Okai"
881,RAV4 13-15 Front and Back Guard,Brand New,,"Greater Accra, Abossey Okai"
882,Ford Key Programming Service,Brand New,400.0,"Greater Accra, Abossey Okai"
883,Honda Accord 2018 Back All Kinds of Hub Bearing Available,Brand New,550.0,"Greater Accra, Abossey Okai"
884,0421. Original Monroe Shock Absorber for USA. 37342,Brand New,,"Greater Accra, Abossey Okai"
885,Steering Rack Ends and Ball Joints Available,Brand New,400.0,"Greater Accra, Abossey Okai"
886,(Honda Accord-17)All Kinds of Fog Light and Cover Available,Brand New,800.0,"Greater Accra, Abossey Okai"
887,Break Pads,Brand New,150.0,"Greater Accra, Abossey Okai"
888,Optima 2011 Down Grille,Brand New,250.0,"Greater Accra, Abossey Okai"
889,"Accord 2013,2014,2015 Back Bumper",Brand New,480.0,"Greater Accra, Abossey Okai"
890,F150 Shock Absorber,Brand New,700.0,"Greater Accra, Abossey Okai"
891,CRV 2020 Bootlight Pair,Brand New,,"Greater Accra, Abossey Okai"
892,Acura Remote Key,Brand New,400.0,"Greater Accra, Abossey Okai"
893,Civic 2017 Front Grill,Brand New,700.0,"Greater Accra, Abossey Okai"
894,Chrysler Head Light,Used,,"Greater Accra, Abossey Okai"
895,Pressure Washer (9hp)3200psi,Brand New,,"Greater Accra, Osu"
896,2x4 or Medium 4X4 Covers Available It's Imported One,Brand New,320.0,"Greater Accra, Dansoman"
897,(Honda Accord-16)All Kinds of Front Bumper Available,Brand New,800.0,"Greater Accra, Abossey Okai"
898,Original Master Cylinder or Brake Pot From USA. M631032,Brand New,,"Greater Accra, Abossey Okai"
899,Car Alarm and Installation,Brand New,500.0,"Greater Accra, Abossey Okai"
900,Civic 2016-2020 Empty Boot,Brand New,,"Greater Accra, Abossey Okai"
901,Door Handle,Brand New,250.0,"Greater Accra, Abossey Okai"
902,Honda Accord 2008-2012 Head Lights Available,Brand New,,"Greater Accra, Abossey Okai"
903,2011-2014 Hyundai Sonata Smart Key,Brand New,500.0,"Greater Accra, North Legon"
904,Honda CR-V 2012-2018 Front LINK BAR Pair Available,Brand New,450.0,"Greater Accra, Abossey Okai"
905,Tracking Device,Brand New,516.0,"Greater Accra, Kwashieman"
906,Original Nissan Floor Mat Available,Brand New,300.0,"Greater Accra, Abossey Okai"
907,Tucson Diffuser (Home Used),Used,,"Greater Accra, Abossey Okai"
908,Toyota Ia Tail Lights,Brand New,,"Greater Accra, Abossey Okai"
909,0389. Original FCS Strut From USA. 333737,Brand New,,"Greater Accra, Abossey Okai"
910,(Chevrolet Malibu-16)All Kinds Of Link Bar Available,Brand New,150.0,"Greater Accra, Abossey Okai"
911,(RAV4-13)All Kinds of Back Link Available,Brand New,200.0,"Greater Accra, Abossey Okai"
912,Civic 2014 Fog Light and Cover,Brand New,600.0,"Greater Accra, Abossey Okai"
913,Honda CRV - 2017/2020 - All Kinds of Support Available,Brand New,,"Greater Accra, Abossey Okai"
914,Toyota Rear Adjustable Shock Absorber,Brand New,400.0,"Greater Accra, Abossey Okai"
915,Car Vaccuum Cleaner 4 in 1,Brand New,249.0,"Greater Accra, Achimota"
916,(Benz C300-18/20)All Kinds of Head and Tail Light Available,Brand New,,"Greater Accra, Abossey Okai"
917,Car Alarm System and Fixing,Brand New,450.0,"Greater Accra, Abossey Okai"
918,All Weatherproof Foreign Covers for All Cars Please Contact,Brand New,430.0,"Greater Accra, Dansoman"
919,Kia Lower Arm Available,Brand New,600.0,"Greater Accra, Abossey Okai"
920,Ford F150 2015/2019 Side Mirror With Light and Blind Spot,Used,,"Greater Accra, Abossey Okai"
921,"Toyota,Kia,Hyundai Cars Link Bar",Brand New,200.0,"Greater Accra, Abossey Okai"
922,Liqui Moly Sae 75w-90 Full Synthetic Gear Oil-1l,Brand New,200.0,"Greater Accra, Lapaz"
923,8 Inches Car Fan,Brand New,120.0,"Greater Accra, Accra Metropolitan"
924,Nissan Stanbic Brand New BRAKE DISC Pair Available,Brand New,600.0,"Greater Accra, Abossey Okai"
925,Digital Car Pump for Private Use. Automatic Pump Quality,Brand New,700.0,"Greater Accra, Dansoman"
926,Honda Rewritable SRS Unit,Brand New,,"Greater Accra, Adenta"
927,2017 Chevrolet Spark Hub,Used,620.0,"Greater Accra, Ridge"
928,Foreign Waterproof High Quality Car Covers Dealer,Brand New,260.0,"Greater Accra, Dansoman"
929,Civic 2012 Mirror,Brand New,900.0,"Greater Accra, Abossey Okai"
930,Chivrolet Avio Gear Box for Sale,Used,,"Greater Accra, Abossey Okai"
931,Kia Sportage Oxygen Sensors,Brand New,300.0,"Greater Accra, Abossey Okai"
932,Honda Hcf-2 Cvt Fluid-4l for Most Honda Cars,Brand New,300.0,"Greater Accra, Lapaz"
933,Hundyia Elantra 2009 Back Shock Absorber,Used,350.0,"Greater Accra, Abossey Okai"
934,Chrysler Remote Key,Brand New,300.0,"Greater Accra, Adenta"
935,Car Head Lights for All Cars in Stock,Used,500.0,"Greater Accra, Abossey Okai"
936,Home Used Tires,Used,680.0,"Greater Accra, Abossey Okai"
937,Honda Civic,Used,800.0,"Greater Accra, Abossey Okai"
938,(Honda Crv-18/20)All Kinds of Lower Arm Available,Used,,"Greater Accra, Abossey Okai"
939,Vehicle Tracker,Brand New,650.0,"Greater Accra, Accra Metropolitan"
940,Nissan Pathfinder Back SHOCK ABSORBER Pair in Stock,Brand New,400.0,"Greater Accra, Abossey Okai"
941,Affordable Prices on All Our System,Brand New,369.0,"Greater Accra, Kwashieman"
942,GK80252. Original Stabilizer Bar Link From USA. GK80252,Brand New,800.0,"Greater Accra, Abossey Okai"
943,Towner Front Shock Absorbers,Brand New,,"Greater Accra, Abossey Okai"
944,2018-2021 Toyota Chr Rear Bumper,Used,,"Greater Accra, Nii Boi Town"
945,Range Rover Mounding,Brand New,,"Greater Accra, Abossey Okai"
946,Elantra 2011- 2013 Mirror,Brand New,400.0,"Greater Accra, Abossey Okai"
947,GPS Tracking Systems for Sale,Brand New,500.0,"Greater Accra, Abossey Okai"
948,Jeep Cherokee 2014-2021 Front SHOCK ABSORBERS in Stock,Brand New,,"Greater Accra, Abossey Okai"
949,Mercedes Benz W204 4matic Front Shock Absorbers,Brand New,,"Greater Accra, Abossey Okai"
950,Honda Pilot Boot Available,Brand New,,"Greater Accra, Abossey Okai"
951,Grand Jeep Cherookee 2012 Front Shock Absorbers,Used,,"Greater Accra, Abossey Okai"
952,(Corolla-14/16)All Kinds of Head and Tail Lights Available,Brand New,900.0,"Greater Accra, Abossey Okai"
953,Honda Ridgeline Lower Arm,Used,,"Greater Accra, Abossey Okai"
954,Chevrolet/Matis Doors,Used,400.0,"Greater Accra, Ridge"
955,2019 Highlander Shocks,Used,700.0,"Greater Accra, East Legon"
956,Hyundai/Nissan/Toyota/Honda/Kia LINK BAR Pair Available,Brand New,200.0,"Greater Accra, Abossey Okai"
957,Hyundai Tucson 2016-2021 Fog Light. Left,Used,200.0,"Greater Accra, Awoshie"
958,Ford Escape Remote Key.,Brand New,350.0,"Greater Accra, Adenta"
959,RAV4 13-15 Front and Back Guard,Brand New,,"Greater Accra, Abossey Okai"
960,Ferrari Car Covers Dealer. It's All Weatherproof Waterproof,Brand New,490.0,"Greater Accra, Dansoman"
961,Gps Tracker Real Time Device,Brand New,606.0,"Greater Accra, Kwashieman"
962,Honda CR-V 2006 Home Used BACK SHOCK ABSORBER Pair Available,Used,600.0,"Greater Accra, Abossey Okai"
963,WATERPROOF Home Car Covers Available At W.F.A Call Us Now,Brand New,250.0,"Greater Accra, Dansoman"
964,Break Pads for All Cars,Brand New,300.0,"Greater Accra, Abossey Okai"
965,(Civic-16/19)All Kinds of Side Mirror Available,Brand New,,"Greater Accra, Abossey Okai"
966,Hyundai Elantra Front Shells Available,Brand New,500.0,"Greater Accra, Abossey Okai"
967,Dark Grey Seat Cover,Brand New,850.0,"Greater Accra, Abossey Okai"
968,(Corolla-14/16)All Kinds of Boots Doors and Bonnet Available,Used,,"Greater Accra, Abossey Okai"
969,Elantra 2011- 2015 Top Grille,Brand New,400.0,"Greater Accra, Abossey Okai"
970,CRV 2020 Front Bumper Lower,Brand New,800.0,"Greater Accra, Abossey Okai"
971,Real Time Vehicle Car GSM/GPRS/GPS Tracking Device,Brand New,500.0,"Greater Accra, Ashaiman Municipal"
972,"All Weatherproof for TUNDRA, F150 Any Long Car Available",Brand New,490.0,"Greater Accra, Dansoman"
973,Tolsen Booster Cable,Brand New,250.0,"Greater Accra, Achimota"
974,Mazda RX8 2008 Front Shock Absorbers,Used,800.0,"Greater Accra, Abossey Okai"
975,0539. Original Ctek Brake Pad From USA.10211940,Brand New,450.0,"Greater Accra, Abossey Okai"
976,(Honda Accord-18)All Kind of Back LED Reflector Available,Brand New,600.0,"Greater Accra, Abossey Okai"
977,Elantra 2016-2019 Front BRAKE PAD Pair Available,Brand New,250.0,"Greater Accra, Abossey Okai"
978,T5 Transponder Chips,Brand New,50.0,"Greater Accra, Achimota"
979,"All Weatherproof Heavy Waterproof, Dustproof, Sunproof",Brand New,480.0,"Greater Accra, Dansoman"
980,Honda CR-V 2016-2021 BACK BRAKE PAD in Stock,Brand New,350.0,"Greater Accra, Abossey Okai"
981,0643. Original ABS Sensors From USA. ALS2591,Brand New,600.0,"Greater Accra, Abossey Okai"
982,STEERING RACK BALL JOINTS Brand New and Home Used Available,Brand New,350.0,"Greater Accra, Abossey Okai"
983,Original ABS Sensors From USA. 2ABS2956,Brand New,600.0,"Greater Accra, Abossey Okai"
984,Enlatra 2014,Used,,"Greater Accra, Abossey Okai"
985,REVERSE CAMERA for All Cars Available Toyota/Honda/Hyundai,Brand New,200.0,"Greater Accra, Abossey Okai"
986,Honda CR-V Shells,Brand New,800.0,"Greater Accra, Abossey Okai"
987,11 Plates Aokly Car Batteries + Free Instant Delivery,Brand New,370.0,"Greater Accra, Ga West Municipal"
988,Camry 2012 - 2014 Foglights and Covers,Brand New,400.0,"Greater Accra, Abossey Okai"
989,Gt06 Real Time Smart Car GPS Tracker,Brand New,450.0,"Greater Accra, Labone"
990,(Nissan Navara)All Kinds of Ball Joints and Links Available,Brand New,220.0,"Greater Accra, Abossey Okai"
991,Original Power Stop Brake Disc Back From USA. JBR1355,Brand New,,"Greater Accra, Abossey Okai"
992,Shock Absorber Rav 4 Front Left 2009-12 C519,Used,600.0,"Greater Accra, Weija"
993,Sinotruk Howo Steering Hand Brake Valve,Brand New,300.0,"Greater Accra, Ga East Municipal"
994,0304. Original Ultra Power Link From USA.,Brand New,500.0,"Greater Accra, Abossey Okai"
995,Fire Extinguisher,Brand New,250.0,"Greater Accra, Abossey Okai"
996,GERMAN CAR BATTERIES - 15 Plate,Brand New,600.0,"Greater Accra, Osu"
997,0764. Original U.P Stabilizer Bar Link From USA.,Brand New,400.0,"Greater Accra, Abossey Okai"
998,"Crv 2017,2018,2019,2020,2021 Empty Boot",Brand New,,"Greater Accra, Abossey Okai"
999,Honda Pilot 2003-2008 Complete STEERING RACK in Stock,Used,900.0,"Greater Accra, Abossey Okai"
1000,0801. Original Ultra Power Ball Joint From USA.,Brand New,700.0,"Greater Accra, Abossey Okai"
1001,Honda CR-V 2012-2016 Back Shock Absorbers Pair Available,Used,800.0,"Greater Accra, Abossey Okai"
1002,Safety Device,Brand New,369.0,"Greater Accra, Kwashieman"
1003,Hyundai Sonata 2012/13 Tail Light Left.,Used,250.0,"Greater Accra, Abossey Okai"
1004,(Hyundai Sonata-11)All Kinds of Back Beam Available,Used,,"Greater Accra, Abossey Okai"
1005,Elantra Headlight Pair,Brand New,,"Greater Accra, Abossey Okai"
1006,Hyundai Elantra Monster Head Light,Brand New,,"Greater Accra, Abossey Okai"
1007,Quick Dry Car Cover for Landcruiser and 2x4,Brand New,350.0,"Greater Accra, Dansoman"
1008,Tucson 2015 Front Bumper,Brand New,850.0,"Greater Accra, Abossey Okai"
1009,RAV4 12 Front and Back Guard,Brand New,,"Greater Accra, Abossey Okai"
1010,Upgrade Body Kit for Land Cruiser,Brand New,,"Central Region, Gomoa East"
1011,2015 Chevrolet Spark Steer Rack,Used,800.0,"Greater Accra, Spintex"
1012,Nissan Pathfinder Smart Key,Brand New,500.0,"Greater Accra, Adenta"
1013,Pair Of Dodge Ram Tail Light (Lead ),Used,,"Greater Accra, Abossey Okai"
1014,0556. Original Raybestos Brake Pad From USA. MGD1391CH,Brand New,400.0,"Greater Accra, Abossey Okai"
1015,Chevrolet Cruz Front Shock Absorbers,Brand New,700.0,"Greater Accra, Abossey Okai"
1016,Honda Accord 2018-2021 Home Used BRAKE PORT for Sale,Used,,"Greater Accra, Abossey Okai"
1017,Honda Civic 2016-2019 New Back Bumper Diffuser Available,Brand New,600.0,"Greater Accra, Abossey Okai"
1018,Equinox 2017 Tail Light Outer,Brand New,,"Greater Accra, Abossey Okai"
1019,Corlla 2019 Window Shade,Brand New,350.0,"Greater Accra, Abossey Okai"
1020,LINK BAR Pair Available for All Cars,Brand New,200.0,"Greater Accra, Abossey Okai"
1021,Hyundai KIA Smart Remote Key Shell 4 Buttons,Brand New,180.0,"Greater Accra, Achimota"
1022,Corrolla IA 2018 Side Mirror Pair,Brand New,,"Greater Accra, Abossey Okai"
1023,Original Dorman Brake Pot/ Master Cylinder From USA. M630711,Brand New,,"Greater Accra, Abossey Okai"
1024,Brand New Tail Lights for All Cars Available,Brand New,,"Greater Accra, Abossey Okai"
1025,0513. Original Brake Pad From USA. 10313770,Brand New,500.0,"Greater Accra, Abossey Okai"
1026,Spare Tire Chain,Used,400.0,"Greater Accra, Abossey Okai"
1027,Boliden 15 Plate,Brand New,870.0,"Greater Accra, Accra Metropolitan"
1028,Dodge Journey,Used,600.0,"Greater Accra, Abossey Okai"
1029,Leather Seats Covers for All Cars Please Contact Us Now,Brand New,800.0,"Greater Accra, Dansoman"
1030,Chevrolet Spark 2011/14 Tail Light Pair Available.,Used,450.0,"Greater Accra, Abossey Okai"
1031,Mini Cooper Countryman Back Door Available,Used,,"Greater Accra, Abossey Okai"
1032,Toyota Rav4 2018-2020 Lower Arm Pair Available,Used,,"Greater Accra, Abossey Okai"
1033,Honda Civic/Accord/Cr-V 2016-2019 STEERING AIRBAG,Used,,"Greater Accra, Abossey Okai"
1034,Corolla 2017 Front Shells,Brand New,500.0,"Greater Accra, Abossey Okai"
1035,(Nissan Sentra 2008)All Kinds of Beams Available,Used,,"Greater Accra, Abossey Okai"
1036,0746. Original Tie Rod Ends From USA. ES800640,Brand New,700.0,"Greater Accra, Abossey Okai"
1037,Car Air Compressor Safe Driving,Brand New,250.0,"Greater Accra, Accra Metropolitan"
1038,Car Window Lubricant,Brand New,100.0,"Greater Accra, Spintex"
1039,Toyota/Nissan/Honda/Hyundai Front BUMPER GRILLE Available,Brand New,400.0,"Greater Accra, Abossey Okai"
1040,Honda Ridgeline 2006-14 Front SHOCK ABSORBERS Pair Available,Used,,"Greater Accra, Abossey Okai"
1041,Mini Cooper 01-06 Side Mirror,Used,,"Greater Accra, Abossey Okai"
1042,0215. Original Delphi Ball Joint From USA. TC2164,Brand New,800.0,"Greater Accra, Abossey Okai"
1043,Nissan X-Trail Steering Rack,Brand New,,"Greater Accra, Abossey Okai"
1044,Benz E300 Front Grill,Brand New,,"Greater Accra, Abossey Okai"
1045,Elantra 2014/15 Diffuser,Brand New,450.0,"Greater Accra, Darkuman"
1046,Tie Rod End (MOOG),Brand New,230.0,"Greater Accra, East Legon"
1047,0344. Original Shock Absorber From USA. Ford E250,Brand New,,"Greater Accra, Abossey Okai"
1048,Camry 2007 to 2009 Headlight Available,Brand New,700.0,"Greater Accra, Abossey Okai"
1049,"All Weatherproof, Waterproof Covers Dealer",Brand New,390.0,"Greater Accra, Dansoman"
1050,Elantra 14-16 Headlight,Brand New,,"Greater Accra, Abossey Okai"
1051,Elantra 201-2015 Head Light,Brand New,,"Greater Accra, Abossey Okai"
1052,Sonata 2015-2017 Side Mirror With Light,Brand New,,"Greater Accra, Abossey Okai"
1053,Original Pure Leather Car Seats Covers for All Cars,Brand New,600.0,"Greater Accra, Dansoman"
1054,Accord 2019 Diffuser,Brand New,600.0,"Greater Accra, Abossey Okai"
1055,Mitsubishi Push - Start Key,Brand New,700.0,"Greater Accra, Abossey Okai"
1056,LOWER ARM High Quality Pair for All Cars Available,Used,600.0,"Greater Accra, Abossey Okai"
1057,Elantra 2011 Fog Light,Brand New,,"Greater Accra, Abossey Okai"
1058,Honda Accord 2009/11 Tail Light Pair,Used,800.0,"Greater Accra, Abossey Okai"
1059,(Elantra-17)All Kinds of Front Cut Available,Used,,"Greater Accra, Abossey Okai"
1060,Porche Panamera 970 Front Shock Absorbers,Used,,"Greater Accra, Abossey Okai"
1061,"All Weatherproof, Waterproof, Sunproof, Dustproof Dealer",Brand New,395.0,"Greater Accra, Dansoman"
1062,Civic 2016 Led Back Reflector,Brand New,700.0,"Greater Accra, Abossey Okai"
1063,Gps Tracker 24 Volt Car and 12 Volts,Brand New,400.0,"Greater Accra, Ashaiman Municipal"
1064,22 Pins Clutch for Sale,Used,,"Greater Accra, Abossey Okai"
1065,(Honda CRV-20)All Kinds of Front Bumper Available,Used,,"Greater Accra, Abossey Okai"
1066,Elantra 2012 Complete Radiator,Brand New,,"Greater Accra, Abossey Okai"
1067,Elantra 2012 Front Shocks,Brand New,600.0,"Greater Accra, Abossey Okai"
1068,Sonata 2016 Head Light,Brand New,,"Greater Accra, Abossey Okai"
1069,Ford Focus Shock Absorber,Brand New,,"Greater Accra, Abossey Okai"
1070,Original U.P Stabilizer Bar Link From USA.,Brand New,500.0,"Greater Accra, Abossey Okai"
1071,2012 - 2018 Ford Focus ABS Assembly,Used,800.0,"Greater Accra, Tema Metropolitan"
1072,17 Plates Platinum Battery,Brand New,,"Greater Accra, Kokomlemle"
1073,Air Filter for All Cars,Brand New,100.0,"Greater Accra, Abossey Okai"
1074,Original Brake Disc Rear From USA. AR8598,Brand New,,"Greater Accra, Abossey Okai"
1075,(Camry-11)All Kinds of Ball Joints Available,Brand New,180.0,"Greater Accra, Abossey Okai"
1076,Elantra Front Grille,Brand New,300.0,"Greater Accra, Abossey Okai"
1077,Leather Case for Honda Smart Key Fob,Brand New,80.0,"Greater Accra, Kotobabi"
1078,Global Real Time Tracking System,Brand New,606.0,"Greater Accra, Kwashieman"
1079,Original Dashboard Spray GS 90 We Have All Types Call Us,Brand New,70.0,"Greater Accra, Dansoman"
1080,RAV 4 2018 Mirror,Brand New,,"Greater Accra, Abossey Okai"
1081,RAV 4 2017 Headlight LED,Brand New,,"Greater Accra, Abossey Okai"
1082,Smart Car DVR,Brand New,120.0,"Greater Accra, Ashaiman Municipal"
1083,0350/0351. Original Control Arm From USA. GK80308,Brand New,,"Greater Accra, Abossey Okai"
1084,Honda CR-V 2005 Back Shocks,Used,500.0,"Greater Accra, Accra Metropolitan"
1085,Honda CRV Shock Absorbers,Brand New,450.0,"Greater Accra, Abossey Okai"
1086,(Highlander-18)All Kinds of Head and Tail Light Available,Brand New,,"Greater Accra, Abossey Okai"
1087,Ford F150 2014 Model Head Light,Used,,"Greater Accra, Abossey Okai"
1088,Forg Light,Brand New,450.0,Greater Accra
1089,Optima 2014 Down Grill,Brand New,300.0,"Greater Accra, Abossey Okai"
1090,Honda Accord 2022 Sports Headlight (Nike Sign),Brand New,,"Greater Accra, Airport Residential Area"
1091,Ford Transponder Key,Brand New,250.0,"Greater Accra, Adenta"
1092,0363. Original FCS Auto Shock Absorber From USA. 346444,Brand New,900.0,"Greater Accra, Abossey Okai"
